Output Dialog,Input Dialog
Top of the world? Dock of the bay? I'm out.,What am I sitting on?
"Oh! Look at that, time's up! My turn!",I can't believe we've never done this before! It's sooo good! So good for Monica!
"Wow! Listen, we had a good run. What was it? Four? Five months? I mean, that's more than most people have in a lifetime! So, good-bye, take care, bye-bye then!","Chandler!!! Chandler!!! Chandler, I saw what you were doing through the window! Chandler, I saw what you were doing to my sister! Now get out here!"
Hey!,Hey!
Okay.,"Okay, pick a card."
Hey!,Hey!
I'm sorry!,"That is it! You just barge in here, you don't knock"
"Hi, my names Chandler. I just moved in next door and I was wondering if you would be interested in battling me in a post-apoplectic world for control of the galaxies last remaining energy source?",Hey.
Sydney Portier? Hehheh. _B_,"Okay, great! Bye. So guess whos coming to Thanksgiving dinner?"
This coming from the man who couldnt split our 80 dollar phone bill in half.,"Okay Rach, that muffin and espresso, $4.50. Ross, double latte, $2.75. Chandler, coffee and a scone, $4.25. And Pheebs, herbal tea, $1.25. So, all together thats $12.75."
Yeah.,"Hey, remember when I had a monkey?"
"Ahh, Hotties of the Paleontology Department, theres a big selling calendar, eh?","Hey! I just got uh, my teacher evaluations! Check out what this one student wrote, ""I loved Dr. Gellers class. Mind blowing lectures! Dr. Geller, you are definitely the hottie of the paleontology department!"""
Okay.,"Okay, Chandler!"
Hey!,"Hi, you guys."
Hey.,"Hey, whats going on?"
"No, no, no. No-no-no. Joey, Rachel, and",Hey everybody! Happy Thanksgiving!
Do you realize you get louder each week?,Do you realize that four weeks from today were getting married? Four weeks baby!! Four weeks!!!
Hey.,Hey.
New haircut? Necklace? Dress? Boots? Boots!,Hey! So what do you think?
Oh my goodness! Where did you hide it?,Hey! I got you a present!!
Hi!,"And that's why, no matter what mommy says, we really were on a break. Yes we were! Yes we were! Come here gorgeous. Oh! Look at you! You are the cutest little baby ever! You're just a... a little bitty baby, you know that? But you've got... You've got big beautiful eyes... Yes you do... and a... and a big round belly. Big baby butt! I like big butts. I like big butts and I cannot lie / you other brothers can't deny / when a girl walks in with an itty, bitty, waist / and a round thing in your face you get... Oh my God, Emma... you're laughing! Oh my God, you've never done that before, have you? You never done that before... Daddy made you laugh, huh? Well, daddy and Sir Mix Alot... What? What? You... you wanna hear some more? Uhm... My anaconda don't want none / unless you got buns hon... I'm a terrible father! _B_"
Yeah. Hey! Here's an idea. Why don't we use our wedding china today?,Hey Hon? Would you help me get the plates down?
